# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
0,0,1,791,791,33.052982,0.105831,0.027988,4.977398,0.132581,0.004637,0
103735900,1,2,1159,1033,2.315313,0.176797,12.347228,11.076686,0.073825,0.001202,0
207338100,2,3,1066,961,27.283362,1.077672,39.025225,11.512319,29.424438,0.134791,2
414691700,3,4,890,1035,22.344546,0.568603,47.414924,16.739660,5.789270,0.356655,2
518430200,4,5,981,1157,21.230967,0.340170,64.234914,17.946804,48.382011,0.439891,2
725797700,5,6,1031,1250,24.567842,0.489225,52.008781,19.347325,52.721058,0.492328,2
933146700,6,7,987,1299,20.292057,0.546916,65.207208,22.449390,57.833553,0.534225,2
1140497000,7,8,1099,1434,23.395730,0.802719,72.663470,28.104498,129.721657,0.876465,2
1347979000,8,9,1252,1634,19.815569,0.905772,69.351794,34.543546,123.136127,1.141782,2
1555212000,9,10,1311,1739,17.869802,0.642876,62.939598,34.421345,86.026074,0.817962,2
1866302000,10,11,1226,1794,17.450744,0.778545,48.145272,30.992499,102.454677,1.165252,2
2177281000,11,12,1149,1882,30.034019,1.001944,35.791743,34.504348,146.153570,1.897335,2
2384639000,10,13,1157,1931,17.207595,0.722074,39.202252,34.290296,70.497266,1.166060,2
2591988000,9,14,1065,1876,32.431499,0.881218,39.535653,32.528495,134.216075,1.268613,4
2799367000,8,15,1031,1942,25.073067,0.539452,41.118997,36.390874,77.978266,1.446491,6
3110441000,6,16,1117,2117,45.999619,0.915795,37.306942,40.412122,68.586625,1.467698,9
3421285000,8,17,1079,2158,20.976992,0.630798,48.206799,41.884428,72.847388,7.532713,8
3628545000,7,18,1021,2144,19.111895,0.640171,43.049800,44.244482,63.208699,1.844179,10
3835871000,8,19,1034,2188,17.416529,0.700076,48.271377,41.387191,53.566836,1.971308,10
4043107000,9,20,1123,2293,16.943835,0.529126,67.401133,48.994038,104.059350,1.969040,10
4250460000,9,21,1100,2368,16.820981,0.563249,54.801946,42.452989,97.564671,1.967956,11
4457940000,9,22,1030,2369,16.353958,0.631937,59.014887,47.874239,120.609688,2.770263,12
4665293000,9,23,1051,2459,15.751417,0.491221,37.896277,45.787557,122.094134,2.583976,13
4872532000,11,24,1159,2616,25.802114,0.749677,60.804393,67.306245,15.218974,3.519173,12
5079909000,11,25,1234,2771,16.728606,1.143323,57.467903,55.434959,113.589951,2.419132,13
5287117000,13,26,1247,2842,21.555523,0.796688,52.302768,55.938222,118.880142,2.341496,12
5494473000,11,27,1256,2927,19.685205,0.699296,54.548804,56.405773,95.710204,2.628869,15
5701829000,12,28,1307,3056,18.481143,0.592852,55.251517,59.840760,107.420539,2.297112,15
5909185000,13,29,1302,3175,17.479483,0.722690,62.198009,62.100189,17.726569,2.434798,15
6116541000,13,30,1281,3234,30.951970,0.718579,52.307739,55.534111,134.230703,2.403605,16
6323895000,12,31,1318,3345,24.440836,0.734240,52.443082,59.546838,21.168329,2.220015,18
6531383000,10,32,1294,3415,23.576857,0.899154,48.828650,58.672420,133.654177,2.418943,21
6738741000,11,33,1269,3466,20.728936,0.645773,54.653521,59.982442,105.279860,2.634977,21
6945963000,12,34,1233,3504,19.603062,0.705043,68.828150,61.487129,91.821287,1.770317,21
7153323000,13,35,1155,3147,18.359297,0.508344,71.684748,63.063374,72.974462,1.669614,21
7360549000,11,36,1122,3120,18.056446,0.448422,71.172373,53.340412,75.046238,1.507121,24
7567786000,13,37,1135,3159,17.611983,0.538506,69.030586,46.442056,80.039548,1.520910,23
7775144000,13,38,1198,3247,16.747542,0.521733,82.763822,55.891562,86.735259,1.577436,24
7982493000,13,39,1152,3310,15.891772,0.594240,67.509979,49.031044,69.731759,1.482411,25
8189849000,3,40,1154,3772,15.699900,0.591680,109.009971,0.000240,0.000000,0.000000,0
8293470000,2,41,1242,3934,15.720186,0.536089,81.422584,0.000237,0.000000,0.000000,0
8397102000,2,42,1302,4129,15.464100,0.525585,98.177425,0.000242,0.000000,0.000000,0
8500847000,14,43,1372,3805,15.548649,0.450138,100.974145,46.685132,31.306454,2.343043,28
8708175000,14,44,1436,3953,15.081034,0.531513,106.225042,67.399692,18.141482,2.494248,29
8915403000,14,45,1435,4053,15.735752,0.746661,100.215177,80.973623,18.907011,2.249036,30
9122890000,17,46,1504,4142,15.994879,0.740251,90.885232,82.033910,201.809757,2.192495,28
9433986000,15,47,1343,4225,16.522237,0.872902,79.822644,88.659870,156.120127,2.936051,31
9849229000,16,48,1251,4206,20.704036,1.262133,78.287094,93.380834,161.109327,4.415679,31
10264660000,16,49,1138,4200,20.656584,1.294400,66.705392,68.317556,172.842128,4.531340,32
10680620000,17,50,1109,4267,20.565157,1.204176,61.759798,67.727121,175.566732,4.087605,32
11096590000,15,51,1284,4505,20.824639,1.026039,51.600424,79.225693,123.112683,3.962589,34
11408180000,14,52,1573,4806,21.100642,0.814312,38.763736,78.642975,122.015852,2.991196,34
11719270000,13,53,1477,4786,21.368670,1.270530,45.505463,66.310713,112.945173,2.862343,34
12030000000,10,54,1342,4862,19.870666,1.134096,46.003039,58.176111,133.333374,3.078982,38
12340600000,5,55,1326,4971,17.889748,0.857930,45.528046,53.839300,84.679502,3.056931,39
12651070000,6,56,1261,5015,17.147772,1.021248,44.138488,47.774487,93.091895,2.088850,39
12961670000,6,57,1135,4979,16.285843,1.016760,51.141871,41.974328,82.749485,1.883629,34
13272350000,6,58,1046,4991,14.947745,0.684312,55.833630,36.952626,68.674451,3.025505,21
13479500000,7,59,1029,5023,16.103643,0.851291,53.011061,40.754312,59.360443,1.378226,21
13686720000,7,60,1061,5087,15.527910,0.657677,46.965668,34.762918,90.703171,1.444278,18
13997670000,8,61,996,5107,14.857007,0.527625,50.439304,36.557855,58.625693,1.384354,18
14204920000,4,62,882,5147,14.385386,0.478100,51.388753,26.232876,7.064639,1.776792,7
14308540000,10,63,940,5136,15.063448,0.562039,61.886451,31.911079,69.614612,9.738463,18
14515890000,3,64,886,5260,13.965138,0.439802,46.183011,23.679752,5.971918,1.198273,9
14619680000,12,65,957,5289,14.003804,0.351988,71.441872,34.353976,131.789535,1.847453,18
14826860000,13,66,1060,5446,15.521376,0.590879,68.408522,41.923885,116.721672,2.224942,18
15034100000,13,67,1222,5695,14.865556,0.598141,92.028507,59.699550,12.921021,2.336731,18
15241450000,14,68,1321,5799,14.706957,0.572053,73.403213,49.968549,126.297574,2.489153,18
15448810000,14,69,1345,5901,14.770738,0.661300,77.405260,57.034559,86.564727,2.274660,17
15656170000,16,70,1213,5926,16.577507,0.730940,90.994311,66.719463,17.778131,2.682837,18
15863640000,17,71,1308,5977,14.925542,0.650964,81.774580,57.219902,118.967880,2.866417,18
16071020000,17,72,1349,6099,15.338923,0.717145,78.063518,76.343543,201.817934,3.000552,17
16382090000,16,73,1332,6261,14.823059,0.780874,56.150813,62.732469,229.766288,4.307461,7
16693090000,12,74,1341,6450,14.978532,0.790912,42.745866,61.761713,122.029016,2.881129,11
16900430000,12,75,1271,6413,14.910982,0.796584,37.898547,57.010187,133.703168,2.624304,11
17107900000,11,76,1205,6450,14.281043,0.650453,33.949921,53.509142,128.142134,3.120645,13
17315390000,11,77,1182,6488,14.693167,0.655178,41.942024,55.444215,126.214887,2.638423,14
17522870000,10,78,1132,6530,14.041159,0.677052,41.744167,51.683970,109.073956,2.564000,16
17730220000,10,79,1109,6573,13.966223,0.570039,38.764221,46.863784,108.771586,2.370147,17
